Nombre_Empresa,Tipo,Divisa,Monto,Plazo,Fecha_Inicio_Contrato,Ejecutivo
TELMEX,Vista,MXN,768489.72,1,2018-07-28,Daniel Escobedo Alcántar
TELMEX,Vista,EUR,4885585.41,1,2023-10-06,Alejandro Manuel Pantoja Olivo
GRUPO CARSO,CEDE,MXN,1858088.68,558,"January 31, 2020",Anabel Anel Quintanilla
WALMART DE MÉXICO,Vista,USD,2597613.53,1,"April 28, 2022",Irma Tomás Alfaro
GRUPO CARSO,Plazo,EUR,896807.16,321,13-Jul-2025,Frida Heredia Merino
PEMEX,CEDE,MXN,322584.65,159,27/12/2021,Eloisa Salinas Aguilar
walmart de méxico,Vista,MXN,2221490.67,1,20/09/2022,Sr(a). Salma Esquivel
WALMART DE MÉXICO,Plazo,USD,1235049.8,623,2023-12-11,Clara Cristobal Barreto Márquez
FEMSA,Vista,MXN,4360084.72,1,"April 15, 2016",Fernando Rivera Maestas
GRUPO BIMBO,CEDE,MXN,4271032.88,534,"October 21, 2019",Micaela Velásquez
grupo bimbo,Vista,MXN,2643921.74,1,02/10/2023,Eloisa Salinas Aguilar
BBVA MÉXICO,Plazo,MXN,257989.7,367,11/02/2022,Víctor Judith Leal Chapa
PEMEX,Vista,EUR,2108721.01,1,02/10/2015,Daniel Nadia Camacho
GRUPO CARSO,Vista,MXN,1181363.89,1,24-Sep-2023,Liliana Adela Castro
ALSEA,Vista,EUR,814052.61,1,14-Mar-2021,Homero Cristobal Romero Cortez
pemex,CEDE,EUR,3889836.27,427,13/11/2016,Sandra Rodolfo Amador
BANORTE,Vista,EUR,722114.73,1,"February 18, 2020",Dr. Virginia Pelayo
GRUPO BIMBO,Plazo,USD,3481334.15,163,14/04/2016,Víctor Durán de la Crúz
grupo lala,Plazo,MXN,3210504.3,446,21/11/2023,Linda Isabela Zambrano
CEMEX,Vista,USD,4137650.69,1,2021-05-05,Liliana Adela Castro
BANORTE,Vista,EUR,1660935.91,1,29/11/2015,Alejandra Susana Rodríguez Muro
AMÉRICA MÓVIL,CEDE,EUR,737726.23,271,08/12/2017,Rosalia Flores
femsa,Plazo,USD,4142504.9,399,"March 29, 2017",Víctor Durán de la Crúz
CEMEX,CEDE,MXN,2151777.59,436,28/03/2021,Ruby Alma Ulloa Puente
ALSEA,Plazo,USD,3856610.73,415,04/03/2019,Dr. Virginia Pelayo
GRUPO MÉXICO,Plazo,MXN,1226020.71,491,2021-10-14,Humberto Núñez
BANORTE,Plazo,USD,3392666.52,41,"October 16, 2016",Inés Castro
pemex,Vista,USD,518291.89,1,2023-09-26,Dr. Virginia Pelayo
